eob,SHSE.510050,SHSE.510210,SHSE.510300,SHSE.510500,SHSE.510720,SHSE.510880,SHSE.512040,SHSE.512100,SHSE.512170,SHSE.512200,SHSE.512400,SHSE.512670,SHSE.512690,SHSE.512710,SHSE.512800,SHSE.512880,SHSE.512890,SHSE.512980,SHSE.513690,SHSE.515000,SHSE.515030,SHSE.515050,SHSE.515170,SHSE.515210,SHSE.515220,SHSE.515400,SHSE.515650,SHSE.515790,SHSE.515800,SHSE.515880,SHSE.516150,SHSE.516160,SHSE.516510,SHSE.516520,SHSE.517520,SHSE.560280,SHSE.562500,SHSE.562800,SHSE.563300,SHSE.563360,SZSE.159105,SZSE.159201,SZSE.159206,SZSE.159227,SZSE.159326,SZSE.159378,SZSE.159516,SZSE.159595,SZSE.159599,SZSE.159611,SZSE.159625,SZSE.159638,SZSE.159667,SZSE.159697,SZSE.159731,SZSE.159732,SZSE.159745,SZSE.159755,SZSE.159766,SZSE.159790,SZSE.159819,SZSE.159825,SZSE.159851,SZSE.159852,SZSE.159859,SZSE.159865,SZSE.159869,SZSE.159870,SZSE.159883,SZSE.159901,SZSE.159915,SZSE.159928,SZSE.159929,SZSE.159930,SZSE.159992,SZSE.159995,SZSE.159998
2024-08-01,2.33727,0.723,3.31864,4.81372,0.9209836,2.824911,0.868,1.925121,0.297,1.200907,0.9375793,0.628,0.559,0.565,0.639,0.835,1.025,0.594,0.7882188,0.529,0.959,0.984,0.523,0.9950659,1.030058,0.603,1.023,0.682,0.871,0.38,0.846,1.727484,0.803,0.832,1.213,1.03,0.603,0.42,0.795,,,,,,,,0.857,0.983,1.072,1.03,1.171,0.696,0.792,1.002,0.655,0.671,0.52,0.524,0.642,0.529,0.706,0.645,0.391,0.535,0.345,0.565,0.762,0.529,0.453,2.273764,1.636,0.752,1.173,1.392,0.634,0.908,0.635
2024-08-02,2.322949,0.718,3.284339,4.749277,0.9181671,2.817611,0.862,1.898869,0.3,1.195322,0.9219204,0.621,0.556,0.56,0.6355,0.819,1.023,0.586,0.7774347,0.5185,0.946,0.949,0.521,0.9886697,1.022648,0.591,1.017,0.671,0.861,0.3626667,0.835,1.698369,0.782,0.806,1.205,1.013,0.589,0.415,0.784,,,,,,,,0.839,0.974,1.043,1.023,1.164,0.688,0.77,0.991,0.65,0.654,0.513,0.515,0.642,0.524,0.682,0.651,0.3815,0.526,0.346,0.571,0.749,0.524,0.456,2.241547,1.609,0.752,1.181,1.379,0.638,0.884,0.622
2024-08-05,2.307673,0.707,3.247179,4.657494,0.9040848,2.780201,0.847,1.848311,0.299,1.181358,0.8994107,0.607,0.564,0.548,0.63,0.812,1.013,0.586,0.7558665,0.5035,0.93,0.895,0.526,0.9740497,1.013385,0.571,1.019,0.664,0.85,0.342,0.812,1.682194,0.753,0.775,1.168,0.992,0.571,0.408,0.763,,,,,,,,0.806,0.969,0.997,1.005,1.146,0.669,0.751,0.967,0.65,0.619,0.508,0.507,0.648,0.518,0.653,0.646,0.3715,0.511,0.344,0.568,0.754,0.515,0.454,2.207377,1.576,0.76,1.18,1.346,0.636,0.844,0.602
2024-08-06,2.292396,0.706,3.247179,4.707292,0.9022072,2.770164,0.85,1.87359,0.305,1.2037,0.8994107,0.624,0.568,0.565,0.624,0.815,1.007,0.599,0.7578273,0.508,0.94,0.912,0.53,0.9786184,1.018943,0.576,1.016,0.689,0.852,0.348,0.821,1.714544,0.763,0.783,1.148,1.007,0.576,0.412,0.78,,,,,,,,0.815,0.959,1.001,1.007,1.146,0.69,0.766,0.971,0.639,0.626,0.515,0.51,0.659,0.523,0.659,0.651,0.377,0.515,0.351,0.572,0.779,0.519,0.461,2.21714,1.597,0.765,1.196,1.348,0.648,0.849,0.607
2024-08-07,2.290487,0.708,3.24051,4.709244,0.9069013,2.781114,0.852,1.871645,0.302,1.195322,0.9023467,0.627,0.571,0.566,0.625,0.81,1.012,0.596,0.7695917,0.5035,0.935,0.908,0.531,0.9740497,1.032837,0.57,1.017,0.687,0.851,0.3493333,0.82,1.717779,0.758,0.782,1.156,1.011,0.576,0.411,0.78,,,,,,,,0.808,0.96,0.992,1.018,1.162,0.694,0.766,0.975,0.643,0.622,0.513,0.508,0.65,0.525,0.653,0.64,0.3755,0.512,0.348,0.561,0.777,0.52,0.461,2.210306,1.589,0.759,1.185,1.365,0.64,0.838,0.601
2024-08-08,2.29717,0.709,3.244321,4.719008,0.9087789,2.79115,0.861,1.87359,0.302,1.214871,0.8935385,0.606,0.581,0.547,0.6265,0.813,1.012,0.595,0.7705721,0.503,0.931,0.905,0.54,0.976791,1.030985,0.566,1.027,0.684,0.852,0.3456666,0.817,1.704839,0.752,0.777,1.142,1.005,0.572,0.408,0.778,,,,,,,,0.819,0.961,1.0,1.013,1.153,0.671,0.763,0.977,0.647,0.627,0.521,0.506,0.651,0.522,0.65,0.651,0.3715,0.507,0.345,0.568,0.769,0.526,0.464,2.212258,1.582,0.772,1.193,1.365,0.641,0.841,0.598
2024-08-09,2.294306,0.706,3.232887,4.678975,0.9059624,2.781114,0.857,1.855116,0.296,1.231628,0.898432,0.601,0.578,0.543,0.6295,0.806,1.014,0.584,0.7735132,0.502,0.923,0.914,0.537,0.9722223,1.032837,0.562,1.021,0.674,0.849,0.3466667,0.813,1.685429,0.747,0.778,1.146,1.001,0.569,0.406,0.773,,,,,,,,0.812,0.959,0.997,1.007,1.149,0.663,0.76,0.982,0.646,0.629,0.521,0.501,0.64,0.518,0.648,0.642,0.3685,0.505,0.34,0.56,0.754,0.521,0.457,2.200543,1.566,0.766,1.173,1.372,0.631,0.844,0.592
2024-08-12,2.29526,0.704,3.229076,4.680928,0.9125342,2.799362,0.856,1.848311,0.298,1.191,0.898432,0.595,0.575,0.539,0.6275,0.804,1.017,0.583,0.7725328,0.5025,0.917,0.913,0.534,0.9649124,1.040248,0.555,1.025,0.672,0.847,0.3453333,0.81,1.675724,0.74,0.768,1.148,0.999,0.563,0.404,0.766,,,,,,,,0.803,0.958,0.991,1.005,1.145,0.656,0.755,0.984,0.643,0.628,0.512,0.498,0.627,0.514,0.644,0.646,0.364,0.497,0.343,0.564,0.742,0.518,0.463,2.195662,1.563,0.767,1.187,1.379,0.638,0.84,0.586
2024-08-13,2.294306,0.706,3.23384,4.690692,0.9134092,2.800275,0.857,1.853172,0.296,1.188,0.9023467,0.601,0.568,0.545,0.6305,0.815,1.02,0.584,0.7764543,0.5025,0.922,0.923,0.529,0.9713085,1.03469,0.558,1.018,0.672,0.849,0.349,0.814,1.688664,0.744,0.775,1.153,1.001,0.564,0.407,0.772,,,,,,,,0.81,0.958,0.996,1.006,1.148,0.661,0.755,0.993,0.644,0.635,0.511,0.503,0.623,0.517,0.649,0.649,0.367,0.498,0.341,0.567,0.744,0.518,0.459,2.200543,1.578,0.762,1.178,1.381,0.635,0.848,0.589
2024-08-14,2.281894,0.703,3.210972,4.625272,0.9115239,2.793888,0.848,1.834699,0.291,1.177,0.8896238,0.592,0.56,0.537,0.63,0.808,1.017,0.588,0.7725328,0.498,0.906,0.918,0.523,0.9557749,1.019869,0.555,1.007,0.665,0.841,0.3473333,0.806,1.666019,0.738,0.77,1.141,0.987,0.558,0.401,0.769,,,,,,,,0.79,0.95,0.993,1.016,1.161,0.652,0.746,0.983,0.633,0.626,0.509,0.495,0.619,0.514,0.647,0.639,0.364,0.495,0.334,0.556,0.756,0.504,0.45,2.175159,1.555,0.749,1.158,1.375,0.623,0.836,0.585
