STOP_LOSS,TRAILING_TRIGGER,TRAILING_DROP,PnL,MaxDD,Calmar
0.1,0.12,0.03,32.84,28.58,1.1490552834149756
0.1,0.12,0.05,50.11,27.93,1.7941281775868243
0.1,0.15,0.03,45.67,28.33,1.6120720084715852
0.1,0.15,0.05,49.81,28.33,1.7582068478644548
0.1,0.2,0.03,48.88,28.33,1.7253794564066363
0.1,0.2,0.05,48.9,28.33,1.7260854218143311
0.15,0.12,0.03,43.55,29.36,1.4833106267029972
0.15,0.12,0.05,50.98,28.18,1.809084457061746
0.15,0.15,0.03,51.18,28.2,1.8148936170212766
0.15,0.15,0.05,41.47,28.2,1.4705673758865248
0.15,0.2,0.03,47.23,28.2,1.674822695035461
0.15,0.2,0.05,47.46,28.2,1.6829787234042555
0.2,0.12,0.03,45.6,29.32,1.5552523874488404
0.2,0.12,0.05,45.69,28.17,1.621938232161874
0.2,0.15,0.03,60.27,28.19,2.1379921958141184
0.2,0.15,0.05,48.98,28.19,1.7374955658034763
0.2,0.2,0.03,48.63,28.19,1.7250798155374247
0.2,0.2,0.05,50.28,28.19,1.7836112096488117
