date,type,stock,shares,price,amount,pnl,return
2025-09-10,BUY,SHSE.600021,2405,20.79,49999.95,,
2025-09-10,BUY,SZSE.300014,715,69.92181,49994.09415,,
2025-09-10,BUY,SHSE.688006,1210,41.3054,49979.534,,
2025-09-10,BUY,SZSE.002074,1069,46.76,49986.439999999995,,
2025-09-11,BUY,SHSE.688006,1252,39.91825,49977.649,,
2025-09-11,BUY,SZSE.300450,831,60.13,49968.03,,
2025-09-11,BUY,SHSE.600021,2271,22.01,49984.71000000001,,
2025-09-11,BUY,SHSE.688778,581,86.0,49966.0,,
2025-09-12,BUY,SZSE.300450,912,54.8,49977.6,,
2025-09-12,BUY,SHSE.688006,1335,37.44332,49986.8322,,
2025-09-12,BUY,SHSE.601069,1594,31.35,49971.9,,
2025-09-12,BUY,SHSE.600977,2597,19.25,49992.25,,
2025-09-15,SELL,SZSE.002074,1069,45.96,49131.24,-855.1999999999971,-1.7108639863130826
2025-09-15,SELL,SHSE.688006,1210,38.07203,46067.156299999995,-3912.3777000000046,-7.8279595403990765
2025-09-15,SELL,SZSE.300014,715,73.67954,52680.871100000004,2686.7769500000068,5.374188683044689
2025-09-15,SELL,SHSE.600021,2405,21.68,52140.4,2140.4500000000044,4.280904280904285
2025-09-15,BUY,SZSE.002709,1623,30.8053,49997.001899999996,,
2025-09-15,BUY,SHSE.688778,603,82.82,49940.46,,
2025-09-15,BUY,SZSE.002558,1125,44.4309,49984.762500000004,,
2025-09-15,BUY,SZSE.300450,899,55.59,49975.41,,
2025-09-16,SELL,SHSE.688778,581,80.94,47026.14,-2939.8600000000006,-5.8837209302325615
2025-09-16,SELL,SHSE.600021,2271,21.07,47849.97,-2134.7400000000052,-4.2707860063607495
2025-09-16,SELL,SZSE.300450,831,55.0,45705.0,-4263.029999999999,-8.531515050723437
2025-09-16,SELL,SHSE.688006,1252,35.58712,44555.07424,-5422.574759999996,-10.849999686860023
2025-09-16,BUY,SHSE.603179,621,80.4,49928.4,,
2025-09-16,BUY,SHSE.600699,1640,30.48,49987.2,,
2025-09-16,BUY,SZSE.300857,318,156.99,49922.82,,
2025-09-16,BUY,SHSE.603516,324,154.0,49896.0,,
2025-09-17,SELL,SHSE.600977,2597,19.92,51732.240000000005,1739.9900000000052,3.480519480519484
2025-09-17,SELL,SHSE.601069,1594,29.86,47596.84,-2375.060000000005,-4.752791068580553
2025-09-17,SELL,SHSE.688006,1335,35.58712,47508.805199999995,-2478.027000000002,-4.9573595503817565
2025-09-17,SELL,SZSE.300450,912,53.57,48855.840000000004,-1121.7599999999948,-2.244525547445253
2025-09-17,BUY,SHSE.603516,300,166.5,49950.0,,
2025-09-17,BUY,SZSE.300475,637,78.38167,49929.12379,,
2025-09-17,BUY,SHSE.600977,2510,19.92,49999.200000000004,,
2025-09-17,BUY,SHSE.600580,967,51.7,49993.9,,
2025-09-18,BUY,SZSE.300475,662,75.49235,49975.9357,,
2025-09-18,BUY,SHSE.600580,882,56.67,49982.94,,
2025-09-18,BUY,SHSE.600699,1355,36.88,49972.4,,
2025-09-18,BUY,SHSE.600170,12886,3.88,49997.68,,
2025-09-19,BUY,SZSE.300475,585,77.51187,45344.44395,,
2025-09-19,BUY,SHSE.603516,278,162.84,45269.520000000004,,
2025-09-19,BUY,SZSE.300857,277,163.43,45270.11,,
2025-09-19,BUY,SZSE.002335,616,73.69,45393.04,,
2025-09-22,SELL,SHSE.600580,967,51.8,50090.6,96.69999999999709,0.19342359767891004
2025-09-22,SELL,SHSE.600977,2510,16.88,42368.799999999996,-7630.400000000009,-15.26104417670684
2025-09-22,SELL,SZSE.300475,637,87.63951,55826.36787,5897.244080000004,11.811230865583756
2025-09-22,SELL,SHSE.603516,300,160.0,48000.0,-1950.0,-3.9039039039039047
2025-09-22,SELL,SHSE.603516,324,160.0,51840.0,1944.0,3.8961038961038863
2025-09-22,SELL,SZSE.300857,318,175.03,55659.54,5736.720000000001,11.49117778202433
2025-09-22,SELL,SHSE.600699,1640,36.95,60598.00000000001,10610.80000000001,21.22703412073492
2025-09-22,SELL,SHSE.603179,621,77.78,48301.38,-1627.020000000004,-3.2587064676616984
2025-09-22,SELL,SZSE.300450,899,58.89,52942.11,2966.699999999997,5.936319481921193
2025-09-22,SELL,SZSE.002558,1125,44.7,50287.5,302.73749999999563,0.6056595747554017
2025-09-22,SELL,SHSE.688778,603,84.35,50863.049999999996,922.5899999999965,1.8473798599372149
2025-09-22,SELL,SZSE.002709,1623,30.20597,49024.28931,-972.7125899999955,-1.945541838579723
2025-09-22,BUY,SZSE.300475,570,87.63951,49954.5207,,
2025-09-22,BUY,SZSE.300857,285,175.03,49883.55,,
2025-09-22,BUY,SZSE.001309,322,155.11,49945.420000000006,,
2025-09-22,BUY,SHSE.688698,578,86.37391,49924.119979999996,,
2025-09-23,SELL,SHSE.600170,12886,3.5,45101.0,-4896.68,-9.79381443298969
2025-09-23,SELL,SHSE.600699,1355,37.3,50541.49999999999,569.0999999999913,1.1388286334056197
2025-09-23,SELL,SHSE.600580,882,52.79,46560.78,-3422.1600000000035,-6.846656079054181
2025-09-23,SELL,SZSE.300475,662,83.33051,55164.797620000005,5188.861920000003,10.382720898210218
2025-09-23,BUY,SHSE.600170,14285,3.5,49997.5,,
2025-09-23,BUY,SZSE.300857,295,168.98,49849.1,,
2025-09-23,BUY,SZSE.001309,293,170.62,49991.66,,
2025-09-23,BUY,SHSE.600699,1340,37.3,49981.99999999999,,
